"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Sauce Demo 4","0","End to end test","1","0","Buy products","0"
"0","Sauce Demo 1","0","Login Page","1","0","Log in with positive creds","0"
